states,x1,x2
a,1.0846981,1.6956054
u,0.088762805,0.9437218
o,1.2752559,0.29220265
w,0.6395066,-0.86493987
k,-1.2835393,-1.3834136
t,-1.4045321,0.014508705
Q,-0.4001519,-0.697685
